"name","lat","long"
"Meekathara","-26.575806","118.491044"
"Cairns","-16.928556","145.764472"
"Kalgoorlie","-30.752258","121.470768"
"Karratha","-20.735788","116.844707"
"Broome","-17.957754","122.223452"
"Coober Pedy","-29.013896","134.753497"
"Charleville","-26.426714","146.276331"
"Mt Isa","-20.721661","139.489266"
"Kununurra","-15.78214","128.737476"
"Darwin","-12.452766","130.839278"
"Alice Springs","-23.698848","133.879025"
"Perth","-31.963323","115.868166"
"Adelaide","-34.923525","138.599725"
"Melbourne","-37.818002","144.962979"
"Sydney","-33.855833","151.211534"
"Brisbane","-27.468124","153.024193"
